id,delegatedVotesRaw,delegatedVotes,tokenHoldersRepresentedAmount,tokenHoldersRepresented,votes,numberVotes,proposals
0x0000000000000000000000000000000000000000,0,0,-9841,"[{'id': '0x03d70891b8994feb6cca7022b25c32be92ee3725'}, {'id': '0x30be0f631eaa85f3c31897c75b6b5ff31df5c5b6'}, {'id': '0x30c9223d9e3d23e0af1073a38e0834b055bf68ed'}, {'id': '0x92e3f4891b37d1faae471091599721115893ed24'}, {'id': '0xbacd4bbb607f8c35f99637d97e7ad6570f566404'}, {'id': '0xe866ece4bbd0ac75577225ee2c464ef16dc8b1f3'}]",[],0,[]
0x0000000000000000000000000000000000c66bf0,0,0,0,[],[],0,[]
0x0000000000000000000000000000000005f5e100,0,0,1,[{'id': '0xfb8caa905a2e87ef0790df090d90765f83eafd5a'}],[],0,[]
0x00000000000000000000000000000000ac9650d8,0,0,0,[],[],0,[]
0x0000000c50489ced5f512c74fb11ba9af3a03e13,0,0,1,[{'id': '0x0000000c50489ced5f512c74fb11ba9af3a03e13'}],[],0,[]
0x00000b20f0f6a3a212aa6b85106709cd5941457c,0,0,0,[],"[{'id': '0x00000b20f0f6a3a212aa6b85106709cd5941457c-42', 'choice': 'FOR', 'weight': '0', 'proposal': {'id': '42'}}]",1,[]
0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130,4000000000000000,0.004,1,[{'id': '0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130'}],[],0,[]
0x000631989ad80246d4e847a9687b4a2bf7d4ec4c,5000000000000000,0.005,1,[{'id': '0x000631989ad80246d4e847a9687b4a2bf7d4ec4c'}],[],0,[]
0x0006e4548aed4502ec8c844567840ce6ef1013f5,0,0,1,[{'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5'}],"[{'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5-33', 'choice': 'FOR', 'weight': '38110144938082669', 'proposal': {'id': '33'}}, {'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5-34', 'choice': 'FOR', 'weight': '38110144938082669', 'proposal': {'id': '34'}}, {'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5-35', 'choice': 'FOR', 'weight': '38110144938082669', 'proposal': {'id': '35'}}, {'id': '0x0006e4548aed4502ec8c844567840ce6ef1013f5-41', 'choice': 'FOR', 'weight': '38110144938082669', 'proposal': {'id': '41'}}]",4,[]
0x0011f0d36b1368218a5889e80b2834b6314ee5fa,0,0,1,[{'id': '0x0011f0d36b1368218a5889e80b2834b6314ee5fa'}],[],0,[]
0x0016945eb052b5d4ff3339e34c93580c151beafc,0,0,1,[{'id': '0x0016945eb052b5d4ff3339e34c93580c151beafc'}],[],0,[]
0x0019f24785ab9be15fd94425557b06bfbe87f605,24264068984472444,0.024264068984472444,1,[{'id': '0x0019f24785ab9be15fd94425557b06bfbe87f605'}],[],0,[]
0x001b62ccf15fd19ff5b11eb33c7d0a282ea2c086,0,0,1,[{'id': '0x001b62ccf15fd19ff5b11eb33c7d0a282ea2c086'}],[],0,[]
0x0020267463644a4274e557c84548e0c7b9fc5335,19000000000000000,0.019,1,[{'id': '0x0020267463644a4274e557c84548e0c7b9fc5335'}],[],0,[]
0x0023d9ffe7d793895c5da5833d56c737832ead2b,0,0,1,[{'id': '0x0023d9ffe7d793895c5da5833d56c737832ead2b'}],[],0,[]
0x002479a9350070cd97261bccf03156a21f0c471f,25000000000000000,0.025,1,[{'id': '0x002479a9350070cd97261bccf03156a21f0c471f'}],[],0,[]
0x003b489fe691d1100dfaf4ca57bfa0f552f66911,5298234651050895,0.005298234651050895,1,[{'id': '0x003b489fe691d1100dfaf4ca57bfa0f552f66911'}],[],0,[]
0x0049c977aaf22e0db89b2755482c7e49ee2dc2dd,0,0,1,[{'id': '0x0049c977aaf22e0db89b2755482c7e49ee2dc2dd'}],[],0,[]
0x0057d39e9a154fca84892721bc34c46689f810fd,35627779474864479,0.035627779474864479,1,[{'id': '0x0057d39e9a154fca84892721bc34c46689f810fd'}],[],0,[]
0x005a61772557bef9a3e65a7b87eaccce34f2700e,60000000000000000,0.06,1,[{'id': '0x005a61772557bef9a3e65a7b87eaccce34f2700e'}],[],0,[]
0x005fa58cd6d4aa4809d21b1009edb9e54435530e,0,0,2,[{'id': '0x005fa58cd6d4aa4809d21b1009edb9e54435530e'}],[],0,[]
0x007343c15d9d8c0aefcbe5c436de79bbd88bca2d,3380487051694063,0.003380487051694063,1,[{'id': '0x007343c15d9d8c0aefcbe5c436de79bbd88bca2d'}],[],0,[]
0x007fcf057bc81a58a7ea118ad4c3e8905d2f3164,0,0,0,[],[],0,[]
0x008247da22ba7f0f2186aa876af198ea2dfbd271,0,0,1,[{'id': '0x008247da22ba7f0f2186aa876af198ea2dfbd271'}],[],0,[]
0x008b15860738a929dddb478af6cc1d7332329350,17752871091388008,0.017752871091388008,1,[{'id': '0x008b15860738a929dddb478af6cc1d7332329350'}],[],0,[]
0x008da990e7495babd6875adf86da04ffc3cf0ab6,0,0,1,[{'id': '0x008da990e7495babd6875adf86da04ffc3cf0ab6'}],[],0,[]
0x009e0f303bb7daaf90c4ead2729a13a06146cb32,64465070000000000,0.06446507,1,[{'id': '0x009e0f303bb7daaf90c4ead2729a13a06146cb32'}],[],0,[]
0x00ab04e65b733b4116976ae018fe8546e63fe53a,528291651929906981,0.528291651929906981,1,[{'id': '0x00ab04e65b733b4116976ae018fe8546e63fe53a'}],"[{'id': '0x00ab04e65b733b4116976ae018fe8546e63fe53a-29', 'choice': 'FOR', 'weight': '219957650000000000', 'proposal': {'id': '29'}}]",1,[]
0x00af4b2bbb4efc3c657d8641b64898e83831922d,0,0,1,[{'id': '0x00af4b2bbb4efc3c657d8641b64898e83831922d'}],[],0,[]
0x00bbc4f2cb00a1dd6a4543adae64738ae731561c,0,0,1,[{'id': '0x00bbc4f2cb00a1dd6a4543adae64738ae731561c'}],[],0,[]
0x00c67f8e4167bd272b865fdbb7cde1ccc2a303ea,0,0,1,[{'id': '0x00c67f8e4167bd272b865fdbb7cde1ccc2a303ea'}],[],0,[]
0x00c92394c779e78ace580acf7aacfb4c6a86470c,0,0,0,[],[],0,[]
0x00d7f1aa22387230cc217bc394bc85932cf4876a,21564935204835992,0.021564935204835992,1,[{'id': '0x00d7f1aa22387230cc217bc394bc85932cf4876a'}],[],0,[]
0x00de27246ec3b94a176953e0acbf09047476e179,0,0,0,[],[],0,[]
0x00debfe5f41ef7e7b0e51c72793f261b20338e86,0,0,1,[{'id': '0x00debfe5f41ef7e7b0e51c72793f261b20338e86'}],[],0,[]
0x00eb924da2c8bf07fe34258032384f5a82b19d52,0,0,1,[{'id': '0x00eb924da2c8bf07fe34258032384f5a82b19d52'}],[],0,[]
0x00eddd42021ba97a37097ad4286b893b206e12bc,0,0,2,[{'id': '0x00eddd42021ba97a37097ad4286b893b206e12bc'}],[],0,[]
0x00ee80c322d6e956d2629a73223605bbda946f2d,29531940000000000,0.02953194,1,[{'id': '0x00ee80c322d6e956d2629a73223605bbda946f2d'}],[],0,[]
0x00f928a6adc7c345ef919fe5a8be2458580ef9f6,0,0,1,[{'id': '0x00f928a6adc7c345ef919fe5a8be2458580ef9f6'}],[],0,[]
0x0101dc6e00ecb4c26e6db7daf7f96b4180ef3c02,0,0,1,[{'id': '0x0101dc6e00ecb4c26e6db7daf7f96b4180ef3c02'}],[],0,[]
0x010478d569eb85addafe7958ac6622527cf3d1fe,124619510000000000,0.12461951,1,[{'id': '0x010478d569eb85addafe7958ac6622527cf3d1fe'}],[],0,[]
0x01127b6ae91abb28567e4071b823873a3ad880ab,0,0,1,[{'id': '0x01127b6ae91abb28567e4071b823873a3ad880ab'}],[],0,[]
0x0121b11a50500b0245c9c9f4d4aeeb81cb0148cd,0,0,0,[],[],0,[]
0x0124fd98566fb966d118bfb70650cac960dd6c2c,60000000000000000,0.06,1,[{'id': '0x0124fd98566fb966d118bfb70650cac960dd6c2c'}],[],0,[]
0x012e04f8f3b05dd7759776797bb7dae8752d3b28,0,0,1,[{'id': '0x012e04f8f3b05dd7759776797bb7dae8752d3b28'}],[],0,[]
0x01331c290e2799a38c55cdaaa46bb8fab2c8e5bb,15947037346797800,0.0159470373467978,1,[{'id': '0x01331c290e2799a38c55cdaaa46bb8fab2c8e5bb'}],[],0,[]
0x0133af32b3ab8f9048e94c784ec2fa61a3e0f3d7,0,0,1,[{'id': '0x0133af32b3ab8f9048e94c784ec2fa61a3e0f3d7'}],[],0,[]
0x0133b67aec5d8a3959840385ff6f5aba4f85f894,60000000000000000,0.06,1,[{'id': '0x0133b67aec5d8a3959840385ff6f5aba4f85f894'}],[],0,[]
0x013e09e0fb8f26c652410591e32de12f9bf8a26e,0,0,1,[{'id': '0x013e09e0fb8f26c652410591e32de12f9bf8a26e'}],[],0,[]
0x01418a07f6e69b08735b717cd6c86fdd8a5ce1a2,0,0,1,[{'id': '0x01418a07f6e69b08735b717cd6c86fdd8a5ce1a2'}],[],0,[]
0x0148de4bf2b1587b04a69e0c0974c8edfb8fcfa0,0,0,1,[{'id': '0x0148de4bf2b1587b04a69e0c0974c8edfb8fcfa0'}],[],0,[]
0x014a7f8493c9b8b90c286567c3cf88e72713c3b6,11706778100650042,0.011706778100650042,1,[{'id': '0x014a7f8493c9b8b90c286567c3cf88e72713c3b6'}],[],0,[]
0x014d808541240a693b48819a600b401cf6b3b8b7,4198190527929021,0.004198190527929021,1,[{'id': '0x014d808541240a693b48819a600b401cf6b3b8b7'}],[],0,[]
0x014e61e389924e0d275fa1fcd7b7dece38f921e2,0,0,1,[{'id': '0x014e61e389924e0d275fa1fcd7b7dece38f921e2'}],[],0,[]
0x015122a625b45f68e6d795c0ab99fc7107e4c3b9,31789099048526059,0.031789099048526059,1,[{'id': '0x015122a625b45f68e6d795c0ab99fc7107e4c3b9'}],[],0,[]
0x01531d04fb9b1315d5edee740b802087ce318287,2800903509901085,0.002800903509901085,1,[{'id': '0x01531d04fb9b1315d5edee740b802087ce318287'}],[],0,[]
0x015566197d36a8272e5d6aededf075ae9eb041e2,100000000000000000,0.1,1,[{'id': '0x015566197d36a8272e5d6aededf075ae9eb041e2'}],[],0,[]
0x015d7145bfc657780ede4d5fb07cc6d8713eb833,0,0,1,[{'id': '0x015d7145bfc657780ede4d5fb07cc6d8713eb833'}],[],0,[]
0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7,500000000000000000,0.5,1,[{'id': '0x016e9153a386d53c6fc0ca2d6a56dbb3834dc4b7'}],[],0,[]
0x01715e3b275447b37281f5a91a58b8e3b3436341,0,0,1,[{'id': '0x01715e3b275447b37281f5a91a58b8e3b3436341'}],[],0,[]
0x0183ea59935096acd5eec88616091f6de3d257ba,25459734686772542,0.025459734686772542,1,[{'id': '0x0183ea59935096acd5eec88616091f6de3d257ba'}],[],0,[]
0x0192ea31affeae0805c97a56c897ca5a2ac05c67,0,0,1,[{'id': '0x0192ea31affeae0805c97a56c897ca5a2ac05c67'}],[],0,[]
0x019342681e79002b7556848dfa88425e87e3b6b1,0,0,1,[{'id': '0x019342681e79002b7556848dfa88425e87e3b6b1'}],"[{'id': '0x019342681e79002b7556848dfa88425e87e3b6b1-12', 'choice': 'AGAINST', 'weight': '35353130319495944', 'proposal': {'id': '12'}}]",1,[]
0x019d577dfe7572e892630e12a510203abf7a0a29,0,0,1,[{'id': '0x019d577dfe7572e892630e12a510203abf7a0a29'}],[],0,[]
0x019ea4e58ac660fe1226754ee1801f10f8010998,0,0,1,[{'id': '0x019ea4e58ac660fe1226754ee1801f10f8010998'}],[],0,[]
0x01a44c60af90c735c0e36d88f02f2e2c17932408,538299622881554512,0.538299622881554512,1,[{'id': '0x01a44c60af90c735c0e36d88f02f2e2c17932408'}],[],0,[]
