VoteID,blockTime,Transaction Hash,Voter Address,Proposal ID,Proposal Date Created,approvals,casted,lifted,weight,DAO Name,Offchain?
ADD-0xa3844136e8b2e79d9121c982ad1f0211e57d1eecbe7c5dd1df120857d3ffd79e-171,1571014430,0xa3844136e8b2e79d9121c982ad1f0211e57d1eecbe7c5dd1df120857d3ffd79e,0x6f2a8ee9452ba7d336b3fba03cac27f7818aead6,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,1850.0,Maker,0
ADD-ARRAY-0x00bccd137decd2d44d4d3fe8a55d4be2c0abd1e91575dbb065219ecd658625a7-60,1571162495,0x00bccd137decd2d44d4d3fe8a55d4be2c0abd1e91575dbb065219ecd658625a7,0x4f2161c7eb1dc40d6f0eb24db81bf4a6eb0c3f30,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,3.0,Maker,0
ADD-ARRAY-0x04882faa79988f8b002d140e3b1a2d53462231264dd6fc313b8f29798440ba2c-112,1571155382,0x04882faa79988f8b002d140e3b1a2d53462231264dd6fc313b8f29798440ba2c,0x2b528c8a31dbd7c57d8b42003262300c011d044b,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,10.0,Maker,0
ADD-ARRAY-0x0783b1d2ebb15df5d762964616e5d377014f3480c9a7d9bea74fd3d1e78eca16-46,1570824997,0x0783b1d2ebb15df5d762964616e5d377014f3480c9a7d9bea74fd3d1e78eca16,0xd19604efb40ece1efd6df5de6d3892112b51e99a,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,10.0,Maker,0
ADD-ARRAY-0x094ae013df26cadffb6de1665d4c2b068f63461637e865d549831616a919d4d7-34,1570935241,0x094ae013df26cadffb6de1665d4c2b068f63461637e865d549831616a919d4d7,0x18393570148df516f664ef624d6ed9e808f109fb,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,1.0,Maker,0
ADD-ARRAY-0x0ee2a51339c4e46aee9af0cbc7c19369906953052c4ab7a683848141ddbaa33c-58,1570832858,0x0ee2a51339c4e46aee9af0cbc7c19369906953052c4ab7a683848141ddbaa33c,0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,3.079,Maker,0
ADD-ARRAY-0x15111f95a58898dbc34b438ce55cbe4473b8bfe8fb9230b0911adc8a821e0a46-105,1570933735,0x15111f95a58898dbc34b438ce55cbe4473b8bfe8fb9230b0911adc8a821e0a46,0xc8e7c93ccb26004e5a3f500e4e19b7c106614694,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,0.1178,Maker,0
ADD-ARRAY-0x15405b929841a8c77016a68a7ca5ac2914bff3c5fe3081bb0b377a0dba63da45-36,1571878918,0x15405b929841a8c77016a68a7ca5ac2914bff3c5fe3081bb0b377a0dba63da45,0xda5fc3fb1b52e0a925f39742120e69c639def487,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,0.0489,Maker,0
ADD-ARRAY-0x166e6a03dc8d5fe853abed059dfb268276ae22cc4c7d3d8f9163131d3ec7bd47-92,1570829446,0x166e6a03dc8d5fe853abed059dfb268276ae22cc4c7d3d8f9163131d3ec7bd47,0xa7f3dfed2bcf7b35a8824e11ae8f723650edfb58,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,1.0,Maker,0
ADD-ARRAY-0x1a45e0fd3fc380440537a5132d1b9d7cf6acb046e50e08b904647c4eef124e97-57,1571331512,0x1a45e0fd3fc380440537a5132d1b9d7cf6acb046e50e08b904647c4eef124e97,0x064bbdd6c5274080f760616d2df31f3d32626fc9,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,3904.99999194,Maker,0
ADD-ARRAY-0x1b1efceebc7ee53b50597eeefcb1c5539257dab85dda37c147de355884bdf848-23,1571076195,0x1b1efceebc7ee53b50597eeefcb1c5539257dab85dda37c147de355884bdf848,0xa6b5b157670fc71dd34b3e4c8336fe72c0358c78,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,0.988,Maker,0
ADD-ARRAY-0x293a6cb90bec95df55341e880703bb337ea2e90583e2dc8eddc4965a9d533f8f-142,1571541442,0x293a6cb90bec95df55341e880703bb337ea2e90583e2dc8eddc4965a9d533f8f,0x9ee1830ff376758c5ecc7fb465f3b14d64116d71,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,1571331588,1.0,Maker,0
